#SampleID	Metaphlan2_Analysis
k__Bacteria	98.77384
k__Viruses	1.22616
k__Bacteria|p__Bacteroidetes	27.85911
k__Bacteria|p__Actinobacteria	21.46064
k__Bacteria|p__Fusobacteria	19.41288
k__Bacteria|p__Firmicutes	18.47332
k__Bacteria|p__Proteobacteria	7.69646
k__Bacteria|p__Spirochaetes	3.15185
k__Viruses|p__Viruses_noname	1.22616
k__Bacteria|p__Candidatus_Saccharibacteria	0.60707
k__Bacteria|p__Synergistetes	0.11252
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	23.81044
k__Bacteria|p__Actinobacteria|c__Actinobacteria	21.46064
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	19.41288
k__Bacteria|p__Firmicutes|c__Negativicutes	9.79616
k__Bacteria|p__Firmicutes|c__Clostridia	5.22753
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	3.76383
k__Bacteria|p__Firmicutes|c__Bacilli	3.30603
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.20563
k__Bacteria|p__Spirochaetes|c__Spirochaetia	3.15185
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.25611
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2.21629
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.22616
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.60707
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.28483
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.14361
k__Bacteria|p__Synergistetes|c__Synergistia	0.11252
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	23.81044
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	19.48065
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	19.41288
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	9.79616
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	5.22753
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	3.76383
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.18394
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	3.15185
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2.94399
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2.21629
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1.89371
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.64017
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	1.21719
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.60707
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.3624
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.33982
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.28483
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.26165
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.14361
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.12209
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.11252
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	0.01842
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.00897
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	22.19858
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	15.24604
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	9.79616
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	8.55526
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	7.57271
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	4.16683
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	3.76383
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.40466
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	3.25532
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	3.15185
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2.95755
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2.94399
