#SampleID	Metaphlan2_Analysis
k__Bacteria	99.9898
k__Viruses	0.0102
k__Bacteria|p__Firmicutes	40.73719
k__Bacteria|p__Bacteroidetes	23.63056
k__Bacteria|p__Proteobacteria	18.55833
k__Bacteria|p__Actinobacteria	15.11267
k__Bacteria|p__Fusobacteria	1.85044
k__Bacteria|p__Candidatus_Saccharibacteria	0.08296
k__Bacteria|p__Spirochaetes	0.01766
k__Viruses|p__Viruses_noname	0.0102
k__Bacteria|p__Firmicutes|c__Bacilli	24.8427
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	23.05463
k__Bacteria|p__Actinobacteria|c__Actinobacteria	15.11267
k__Bacteria|p__Firmicutes|c__Negativicutes	12.76136
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	9.40706
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8.78749
k__Bacteria|p__Firmicutes|c__Clostridia	2.49919
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.85044
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.63395
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.50116
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.36377
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.08296
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.07476
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.01766
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.0102
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	23.05463
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	20.84574
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	14.22425
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	12.76136
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	9.32991
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	8.52331
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	3.99695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.49919
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.85044
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.76196
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.63395
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.50116
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.36377
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.23707
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.12646
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.08296
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.07715
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.07476
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.02711
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.01766
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0.0102
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	18.88687
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	15.36051
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	12.76136
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	9.32991
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	8.52331
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.69412
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	7.3397
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	6.23281
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	3.99695
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	1.92115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.53463
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	1.03636
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0.81407
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.76196
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.63395
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.61736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.5878
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.50116
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.36377
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.27433
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.23707
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.12646
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.08296
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.07715
