#SampleID	Metaphlan2_Analysis
k__Bacteria	99.83956
k__Viruses	0.16044
k__Bacteria|p__Actinobacteria	42.70913
k__Bacteria|p__Firmicutes	29.3493
k__Bacteria|p__Proteobacteria	22.61856
k__Bacteria|p__Bacteroidetes	4.17209
k__Bacteria|p__Fusobacteria	0.83326
k__Viruses|p__Viruses_noname	0.16044
k__Bacteria|p__Candidatus_Saccharibacteria	0.07211
k__Bacteria|p__Spirochaetes	0.06134
k__Bacteria|p__Synergistetes	0.02377
k__Bacteria|p__Actinobacteria|c__Actinobacteria	42.70913
k__Bacteria|p__Firmicutes|c__Bacilli	18.29501
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11.16835
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	11.10286
k__Bacteria|p__Firmicutes|c__Negativicutes	8.95432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3.79085
k__Bacteria|p__Firmicutes|c__Clostridia	1.64521
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.83326
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.45476
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.31723
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.2071
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.17414
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.16044
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.07211
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.06134
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.03013
k__Bacteria|p__Synergistetes|c__Synergistia	0.02377
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	42.1086
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	17.12422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	11.05593
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	10.90321
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	8.95432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3.79085
