#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	42.51122
k__Bacteria|p__Actinobacteria	39.58441
k__Bacteria|p__Bacteroidetes	11.26197
k__Bacteria|p__Proteobacteria	5.14861
k__Bacteria|p__Fusobacteria	1.4385
k__Bacteria|p__Candidatus_Saccharibacteria	0.04965
k__Bacteria|p__Spirochaetes	0.00563
k__Bacteria|p__Actinobacteria|c__Actinobacteria	39.58441
k__Bacteria|p__Firmicutes|c__Bacilli	26.69566
k__Bacteria|p__Firmicutes|c__Negativicutes	12.24815
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	11.121
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3.49005
k__Bacteria|p__Firmicutes|c__Clostridia	2.74531
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.5801
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.4385
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.8221
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.12636
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.07846
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.04965
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.01461
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00563
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	38.28183
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	23.91261
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	12.24815
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	11.121
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	3.37564
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2.78305
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.74531
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1.55646
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.4385
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.22124
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.8221
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.12636
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.11441
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.08133
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.07846
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.04965
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.02364
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.01461
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.00563
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	26.93463
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	22.52403
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	12.24815
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	10.48584
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	9.48715
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	3.37564
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	2.78305
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.63385
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	1.55646
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	1.34996
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.3315
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.22124
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	1.09697
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.93388
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.8221
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.79312
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.34154
