#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	33.15754
k__Bacteria|p__Firmicutes	24.16833
k__Bacteria|p__Actinobacteria	20.1799
k__Bacteria|p__Bacteroidetes	18.99566
k__Bacteria|p__Fusobacteria	3.43233
k__Bacteria|p__Spirochaetes	0.03661
k__Bacteria|p__Candidatus_Saccharibacteria	0.02962
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	21.38317
k__Bacteria|p__Actinobacteria|c__Actinobacteria	20.1799
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.66786
k__Bacteria|p__Firmicutes|c__Bacilli	12.33956
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11.04857
k__Bacteria|p__Firmicutes|c__Negativicutes	8.62545
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	3.43233
k__Bacteria|p__Firmicutes|c__Clostridia	2.56253
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2.2927
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.7258
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.6408
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.03661
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.03511
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.02962
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	21.24677
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	19.45812
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.66786
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	10.99272
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	10.59045
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	8.62545
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	3.43233
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2.56253
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2.2927
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.74911
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.7258
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.6408
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.59265
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.12913
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.11271
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.05585
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.03661
