#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Actinobacteria	36.1186
k__Bacteria|p__Firmicutes	34.7207
k__Bacteria|p__Bacteroidetes	16.61265
k__Bacteria|p__Proteobacteria	10.43725
k__Bacteria|p__Fusobacteria	1.99372
k__Bacteria|p__Candidatus_Saccharibacteria	0.09883
k__Bacteria|p__Tenericutes	0.0102
k__Bacteria|p__Spirochaetes	0.00805
k__Bacteria|p__Actinobacteria|c__Actinobacteria	36.1186
k__Bacteria|p__Firmicutes|c__Bacilli	17.614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.32193
k__Bacteria|p__Firmicutes|c__Negativicutes	15.21236
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8.42933
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1.99372
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.64348
k__Bacteria|p__Firmicutes|c__Clostridia	1.60844
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.36443
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.28589
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.26004
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.09883
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.03068
k__Bacteria|p__Tenericutes|c__Mollicutes	0.0102
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00805
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	35.25188
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	16.52363
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.32193
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	15.21236
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	8.3731
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	1.99372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.60844
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1.56143
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.09037
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.78662
