#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	32.47922
k__Bacteria|p__Proteobacteria	23.00537
k__Bacteria|p__Actinobacteria	21.59435
k__Bacteria|p__Bacteroidetes	20.64016
k__Bacteria|p__Fusobacteria	2.0152
k__Bacteria|p__Spirochaetes	0.16232
k__Bacteria|p__Candidatus_Saccharibacteria	0.10338
k__Bacteria|p__Actinobacteria|c__Actinobacteria	21.59435
k__Bacteria|p__Firmicutes|c__Negativicutes	20.5985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18.73765
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	17.78002
k__Bacteria|p__Firmicutes|c__Bacilli	11.62728
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4.49444
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.0152
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1.20395
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.7309
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.69856
k__Bacteria|p__Firmicutes|c__Clostridia	0.22481
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.16232
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.10338
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02864
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	21.19602
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	20.5985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	18.73765
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	17.64326
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	11.39346
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	4.49444
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.0152
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1.20395
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.7309
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.69856
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.39833
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.23382
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.22481
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.16232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.13676
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.10338
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.02864
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	20.5985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	17.92088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	17.64326
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	15.6427
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	9.1996
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	4.60296
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	4.49444
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2.19386
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	1.38672
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	1.20395
