#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Actinobacteria	52.7272
k__Bacteria|p__Firmicutes	47.25313
k__Bacteria|p__Proteobacteria	0.01124
k__Bacteria|p__Candidatus_Saccharibacteria	0.00484
k__Bacteria|p__Bacteroidetes	0.00359
k__Bacteria|p__Actinobacteria|c__Actinobacteria	52.7272
k__Bacteria|p__Firmicutes|c__Bacilli	41.58961
k__Bacteria|p__Firmicutes|c__Negativicutes	4.46529
k__Bacteria|p__Firmicutes|c__Clostridia	0.97539
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.22284
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00646
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.00484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00478
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.00359
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	51.63179
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	40.0566
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	4.46529
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.53301
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.07265
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.97539
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.22284
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.02275
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.00646
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.00484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.00478
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.00359
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	37.91805
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	37.02926
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	13.80967
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	4.46529
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2.13421
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	1.53301
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.07265
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.76251
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.35464
