#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	36.67339
k__Bacteria|p__Actinobacteria	36.31412
k__Bacteria|p__Bacteroidetes	14.97757
k__Bacteria|p__Proteobacteria	9.39549
k__Bacteria|p__Fusobacteria	2.53899
k__Bacteria|p__Spirochaetes	0.06682
k__Bacteria|p__Candidatus_Saccharibacteria	0.03362
k__Bacteria|p__Actinobacteria|c__Actinobacteria	36.31412
k__Bacteria|p__Firmicutes|c__Negativicutes	18.31428
k__Bacteria|p__Firmicutes|c__Bacilli	16.27572
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	14.77829
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7.17665
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.53899
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.96008
k__Bacteria|p__Firmicutes|c__Clostridia	1.63838
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.44501
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.25876
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.18087
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.06682
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.03362
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.01841
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	34.95717
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	18.31428
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	15.53232
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	14.77829
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	7.11746
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.53899
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1.94953
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	1.63838
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.3539
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.7434
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.44501
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.25876
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.18087
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.06682
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.05919
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.03362
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.01841
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.01055
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00306
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	22.11598
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	18.31428
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	14.22982
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	13.40384
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	12.50719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	7.11746
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2.12848
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	1.94953
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	1.75482
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.3539
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.88251
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.78418
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.7434
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.54847
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.44501
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0.33981
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.33008
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.27987
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.25876
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.18087
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.07565
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.06682
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0.05919
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0.05413
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0.03362
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	0.01841
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.01055
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.01033
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.00306
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	22.11598
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	16.44715
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	13.40384
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	13.01022
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	12.50719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	7.03198
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	2.12848
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	1.94953
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	1.77448
